"","Description","Results"
"1","MAIN INFORMATION ABOUT DATA",""
"2","Timespan","2010:2023"
"3","Sources (Journals, Books, etc)","7"
"4","Documents","6252"
"5","Annual Growth Rate %","5.35"
"6","Document Average Age","6.58"
"7","Average citations per doc","9.268"
"8","Average citations per year per doc","1.152"
"9","References","95239"
"10","DOCUMENT TYPES",""
"11","article","4786"
"12","article; early access","50"
"13","article; proceedings paper","3"
"14","article; publication with expression of concern","1"
"15","biographical-item","3"
"16","book review","122"
"17","correction","43"
"18","correction; early access","2"
"19","database review","1"
"20","editorial material","1018"
"21","editorial material; early access","1"
"22","expression of concern","1"
"23","film review","1"
"24","letter","133"
"25","meeting","1"
"26","reprint","3"
"27","review","68"
"28","software review","15"
"29","DOCUMENT CONTENTS",""
"30","Keywords Plus (ID)","4428"
"31","Author's Keywords (DE)","8959"
"32","AUTHORS",""
"33","Authors","13890"
"34","Author Appearances","20440"
"35","Authors of single-authored docs","1030"
"36","AUTHORS COLLABORATION",""
"37","Single-authored docs","1776"
"38","Documents per Author","0.45"
"39","Co-Authors per Doc","3.27"
"40","International co-authorships %","6.638"
"41","",""
