,AFF,AFF,Freq,OPEID,OPEID,Issues
473,KENNESAW STATE UNIV,KENNESAW STATE UNIVERSITY,1,00157700,157700,
242,AUGUSTA UNIV,AUGUSTA UNIVERSITY,2,00157900,157900,
113,MOREHOUSE COLL,MOREHOUSE COLLEGE,5,00158200,158200,
325,UNIV NORTH GEORGIA,UNIVERSITY OF NORTH GEORGIA,2,00158500,158500,
570,SOUTH GEORGIA STATE COLL,SOUTH GEORGIA STATE COLLEGE,1,00159200,159200,
77,SPELMAN COLL,SPELMAN COLLEGE,7,00159400,159400,
3,UNIV GEORGIA,UNIVERSITY OF GEORGIA,77,00159800,159800,
330,VALDOSTA STATE UNIV,VALDOSTA STATE UNIVERSITY,2,00159900,159900,
469,KAPIOLANI COMMUNITY COLL,KAPIOLANI COMMUNITY COLLEGE,1,00161300,161300,
267,IDAHO STATE UNIV,IDAHO STATE UNIVERSITY,2,00162000,162000,
246,BRADLEY UNIV,BRADLEY UNIVERSITY,2,00164100,164100,
423,EASTERN ILLINOIS UNIV,EASTERN ILLINOIS UNIVERSITY,1,00167400,167400,
425,ELMHURST COLL,ELMHURST COLLEGE,1,00167600,167600,
460,ILLINOIS COLL,ILLINOIS COLLEGE,1,00168800,168800,
268,ILLINOIS STATE UNIV,ILLINOIS STATE UNIVERSITY,2,00169200,169200,
524,NORTHERN ILLINOIS UNIV,NORTHERN ILLINOIS UNIVERSITY,1,00173700,173700,
48,NORTHWESTERN UNIV,NORTHWESTERN UNIVERSITY,11,00173900,173900,
315,UNIV CHICAGO,UNIVERSITY OF CHICAGO,2,00177400,177400,
244,BALL STATE UNIV,BALL STATE UNIVERSITY,2,00178600,178600,
247,BUTLER UNIV,BUTLER UNIVERSITY,2,00178800,178800,
422,EARLHAM COLL,EARLHAM COLLEGE,1,00179300,179300,
218,UNIV EVANSVILLE,UNIVERSITY OF EVANSVILLE,3,00179500,179500,
154,UNIV NOTRE DAME,UNIVERSITY OF NOTRE DAME,4,00184000,184000,
34,GRINNELL COLL,GRINNELL COLLEGE,15,00186800,186800,
52,IOWA STATE UNIV,IOWA STATE UNIVERSITY,10,00186900,186900,
192,LUTHER COLL,LUTHER COLLEGE,3,00187400,187400,
149,UNIV IOWA,UNIVERSITY OF IOWA,4,00189200,189200,
363,BUTLER COMMUNITY COLL,BUTLER COMMUNITY COLLEGE,1,00190600,190600,
273,KANSAS STATE UNIV,KANSAS STATE UNIVERSITY,2,00192800,192800,
321,UNIV KANSAS,UNIVERSITY OF KANSAS,2,00194800,194800,
656,WICHITA STATE UNIV,WICHITA STATE UNIVERSITY,1,00195000,195000,
200,MURRAY STATE UNIV,MURRAY STATE UNIVERSITY,3,00197700,197700,
67,UNIV KENTUCKY,UNIVERSITY OF KENTUCKY,8,00198900,198900,
323,UNIV LOUISVILLE,UNIVERSITY OF LOUISVILLE,2,00199900,199900,
350,BATES COLL,BATES COLLEGE,1,00203600,203600,
387,COLBY COLL,COLBY COLLEGE,1,00203900,203900,
25,UNIV MAINE,UNIVERSITY OF MAINE,22,00205300,205300,
347,BALTIMORE CITY COMMUNITY COLL,BALTIMORE CITY COMMUNITY COLLEGE,1,00206100,206100,
184,HARFORD COMMUNITY COLL,HARFORD COMMUNITY COLLEGE,3,00207500,207500,
467,JOHNS HOPKINS UNIV,JOHNS HOPKINS UNIVERSITY,1,00207700,207700,
488,LOYOLA UNIV MARYLAND,LOYOLA UNIVERSITY MARYLAND,1,00207800,207800,
73,MORGAN STATE UNIV,MORGAN STATE UNIVERSITY,7,00208300,208300,
138,SALISBURY UNIV,SALISBURY UNIVERSITY,4,00209100,209100,
585,TOWSON UNIV,TOWSON UNIVERSITY,1,00209900,209900,
194,MCDANIEL COLL,MCDANIEL COLLEGE,3,00210900,210900,
161,AMHERST COLL,AMHERST COLLEGE,3,211500,211500,
501,MERRIMACK COLL,MERRIMACK COLLEGE,1,00212000,212000,
163,BENTLEY UNIV,BENTLEY UNIVERSITY,3,00212400,212400,
103,BOSTON COLL,BOSTON COLLEGE,5,00212800,212800,
357,BOSTON UNIV,BOSTON UNIVERSITY,1,00213000,213000,
104,BRANDEIS UNIV,BRANDEIS UNIVERSITY,5,00213300,213300,
107,HARVARD UNIV,HARVARD UNIVERSITY,5,00215500,215500,
553,SALEM STATE UNIV,SALEM STATE UNIVERSITY,1,00218800,218800,
334,WORCESTER STATE UNIV,WORCESTER STATE UNIVERSITY,2,00219000,219000,
115,NORTHEASTERN UNIV,NORTHEASTERN UNIVERSITY,5,00219900,219900,
93,SMITH COLL,SMITH COLLEGE,6,00220900,220900,
578,SUFFOLK UNIV,SUFFOLK UNIVERSITY,1,00221800,221800,
23,TUFTS UNIV,TUFTS UNIVERSITY,22,00221900,221900,
233,WELLESLEY COLL,WELLESLEY COLLEGE,3,00222400,222400,
236,WILLIAMS COLL,WILLIAMS COLLEGE,3,00222900,222900,
160,ALBION COLL,ALBION COLLEGE,3,223500,223500,
251,CALVIN COLL,CALVIN COLLEGE,2,00224100,224100,
264,GRAND VALLEY STATE UNIV,GRAND VALLEY STATE UNIVERSITY,2,00226800,226800,
458,HOPE COLL,HOPE COLLEGE,1,00227300,227300,
1,MICHIGAN STATE UNIV,MICHIGAN STATE UNIVERSITY,89,00229000,229000,
559,SCHOOLCRAFT COLL,SCHOOLCRAFT COLLEGE,1,00231500,231500,
599,UNIV DETROIT MERCY,UNIVERSITY OF DETROIT MERCY,1,00232300,232300,
649,WAYNE STATE UNIV,WAYNE STATE UNIVERSITY,1,00232900,232900,
64,WESTERN MICHIGAN UNIV,WESTERN MICHIGAN UNIVERSITY,9,00233000,233000,
53,CARLETON COLL,CARLETON COLLEGE,9,00234000,234000,
446,HAMLINE UNIV,HAMLINE UNIVERSITY,1,00235400,235400,
111,MACALESTER COLL,MACALESTER COLLEGE,5,00235800,235800,
571,SOUTHWEST MINNESOTA STATE UNIV,SOUTHWEST MINNESOTA STATE UNIVERSITY,1,00237500,237500,
94,ST OLAF COLL,ST OLAF COLLEGE,6,00238200,238200,
465,JACKSON STATE UNIV,JACKSON STATE UNIVERSITY,1,00241000,241000,
428,EVANGEL UNIV,EVANGEL UNIVERSITY,1,00246300,246300,
277,LINDENWOOD UNIV,LINDENWOOD UNIVERSITY,2,00248000,248000,
66,MISSOURI WESTERN STATE UNIV,MISSOURI WESTERN STATE UNIVERSITY,8,00249000,249000,
213,TRUMAN STATE UNIV,TRUMAN STATE UNIVERSITY,3,00249500,249500,
159,WEBSTER UNIV,WEBSTER UNIVERSITY,4,00252100,252100,
235,WILLIAM WOODS UNIV,WILLIAM WOODS UNIVERSITY,3,00252500,252500,
37,MONTANA STATE UNIV,MONTANA STATE UNIVERSITY,14,00253200,253200,
661,YORK COLL,YORK COLLEGE,1,00256700,256700,
259,DARTMOUTH COLL,DARTMOUTH COLLEGE,2,00257300,257300,
420,DREW UNIV,DREW UNIVERSITY,1,00260300,260300,
547,ROWAN UNIV,ROWAN UNIVERSITY,1,00260900,260900,
198,MONTCLAIR STATE UNIV,MONTCLAIR STATE UNIVERSITY,3,00261700,261700,
