,AFF,AFF,Freq,OPEID,OPEID,Issues
385,CITY COLL SAN FRANCISCO,CITY COLLEGE SAN FRANCISCO,1,#N/A,#N/A,
127,CNR,CNR,4,#N/A,#N/A,
386,COHEN RES AND EVALUAT,COHEN RES AND EVALUAT,1,#N/A,#N/A,
254,COLL CHARLESTON,COLLEGE CHARLESTON,2,#N/A,#N/A,
388,COLL ENGN,COLLEGE ENGN,1,#N/A,#N/A,
389,COLL GLOBAL PUBL HLTH,COLLEGE GLOBAL PUBL HLTH,1,#N/A,#N/A,
390,COLL MARSHALL ISL,COLLEGE MARSHALL ISL,1,#N/A,#N/A,
391,COLL NEW JERSEY,COLLEGE NEW JERSEY,1,#N/A,#N/A,
392,COLL SAN MATEO,COLLEGE SAN MATEO,1,#N/A,#N/A,
173,COLL SCI,COLLEGE SCI,3,#N/A,#N/A,
393,COLL SISKIYOUS,COLLEGE SISKIYOUS,1,#N/A,#N/A,
128,COLL WILLIAM AND MARY,COLLEGE WILLIAM AND MARY,4,#N/A,#N/A,
394,COLL WOOSTER,COLLEGE WOOSTER,1,#N/A,#N/A,
255,COLLEGE PK,COLLEGEEGE PK,2,#N/A,#N/A,
395,COLLIN COLL,COLLEGEIN COLLEGE,1,#N/A,#N/A,
397,COLORADO SCH MINES,COLORADO SCH MINES,1,#N/A,#N/A,
174,COLORADO STATE UNIV,COLORADO STATE UNIVERSITY,3,#N/A,#N/A,
398,COLUMBIA SCH GEN STUDIES,COLUMBIA SCH GEN STUDIES,1,#N/A,#N/A,
129,COLUMBIA UNIV,COLUMBIA UNIVERSITY,4,#N/A,#N/A,
256,COLUMBIA UNIV COLL PHYS AND SURG,COLUMBIA UNIVERSITY COLLEGE PHYS AND SURG,2,#N/A,#N/A,
399,CONCORDIA UNIV,CONCORDIA UNIVERSITY,1,#N/A,#N/A,
400,COSTA COLL,COSTA COLLEGE,1,#N/A,#N/A,
401,CTR CANC RES,CTR CANC RES,1,#N/A,#N/A,
402,CTR EDUC,CTR EDUC,1,#N/A,#N/A,
403,CTR EXCELLENCE EDUC,CTR EXCELLENCE EDUC,1,#N/A,#N/A,
404,CTR INCLUS EDUC,CTR INCLUS EDUC,1,#N/A,#N/A,
257,CTR SCI AND MATH EDUC,CTR SCI AND MATH EDUC,2,#N/A,#N/A,
405,CTR SPECIAL STUDIES AND PROGRAMS,CTR SPECIAL STUDIES AND PROGRAMS,1,#N/A,#N/A,
406,CURTIN UNIV,CURTIN UNIVERSITY,1,#N/A,#N/A,
175,DALHOUSIE UNIV,DALHOUSIE UNIVERSITY,3,#N/A,#N/A,
407,DELAWARE TECH COMMUNITY COLL,DELAWARE TECH COMMUNITY COLLEGE,1,#N/A,#N/A,
408,DEMOCRITUS UNIV THRACE,DEMOCRITUS UNIVERSITY THRACE,1,#N/A,#N/A,
177,DEPT BIOL SCI,DEPT BIOL SCI,3,#N/A,#N/A,
409,DEPT BIOMED SCI,DEPT BIOMED SCI,1,#N/A,#N/A,
410,DEPT EARTH SCI,DEPT EARTH SCI,1,#N/A,#N/A,
411,DEPT PSYCHOL NEUROSCI AND BEHAV,DEPT PSYCHOL NEUROSCI AND BEHAV,1,#N/A,#N/A,
412,DEPT SCI AND TECHNOL,DEPT SCI AND TECHNOL,1,#N/A,#N/A,
413,DEPT SCI BIOL,DEPT SCI BIOL,1,#N/A,#N/A,
414,DEPT VET AFFAIRS MED CTR,DEPT VET AFFAIRS MED CTR,1,#N/A,#N/A,
415,DES MOINES UNIV,DES MOINES UNIVERSITY,1,#N/A,#N/A,
417,DIABLO VALLEY COLL SAN RAMON CAMPUS,DIABLO VALLEY COLLEGE SAN RAMON CAMPUS,1,#N/A,#N/A,
418,DIVERSESCHOLAR,DIVERSESCHOLAR,1,#N/A,#N/A,
260,DOANE COLL,DOANE COLLEGE,2,#N/A,#N/A,
419,DONALD DANFORTH PLANT SCI CTR,DONALD DANFORTH PLANT SCI CTR,1,#N/A,#N/A,
70,E TENNESSEE STATE UNIV,E TENNESSEE STATE UNIVERSITY,7,#N/A,#N/A,
424,EDUC FDN,EDUC FDN,1,#N/A,#N/A,
427,EMORY CLIN,EMORY CLIN,1,#N/A,#N/A,
429,EVERETT COMM COLL,EVERETT COMM COLLEGE,1,#N/A,#N/A,
261,EVERGREEN STATE COLL,EVERGREEN STATE COLLEGE,2,#N/A,#N/A,
430,FAC ARTS AND SCI,FAC ARTS AND SCI,1,#N/A,#N/A,
431,FED UNIV STATE RIO DE JANEIRO,FED UNIVERSITY STATE RIO DE JANEIRO,1,#N/A,#N/A,
262,FLINDERS UNIV S AUSTRALIA,FLINDERS UNIVERSITY S AUSTRALIA,2,#N/A,#N/A,
11,FLORIDA INT UNIV,FLORIDA INT UNIVERSITY,32,#N/A,#N/A,
433,FRALIN BIOMED RES INST,FRALIN BIOMED RES INST,1,#N/A,#N/A,
434,FRALIN LIFE SCI INST,FRALIN LIFE SCI INST,1,#N/A,#N/A,
436,FRANK WARD STRONG MIDDLE SCH,FRANK WARD STRONG MIDDLE SCH,1,#N/A,#N/A,
438,FUTURE RES,FUTURE RES,1,#N/A,#N/A,
439,GALEN COLL NURSING,GALEN COLLEGE NURSING,1,#N/A,#N/A,
440,GARDEN CITY HIGH SCH,GARDEN CITY HIGH SCH,1,#N/A,#N/A,
441,GENOM MED INST,GENOM MED INST,1,#N/A,#N/A,
183,GEORGIA COLL AND STATE UNIV,GEORGIA COLLEGE AND STATE UNIVERSITY,3,#N/A,#N/A,
442,GEORGIA INST TECHNOL,GEORGIA INST TECHNOL,1,#N/A,#N/A,
263,GRAD CTR,GRAD CTR,2,#N/A,#N/A,
444,GROVE SCH ENGN,GROVE SCH ENGN,1,#N/A,#N/A,
131,HAMPDEN SYDNEY COLL,HAMPDEN SYDNEY COLLEGE,4,#N/A,#N/A,
449,HARRIS STOWE STATE UNIV,HARRIS STOWE STATE UNIVERSITY,1,#N/A,#N/A,
451,HARVARD GRAD SCH ARTS AND SCI,HARVARD GRAD SCH ARTS AND SCI,1,#N/A,#N/A,
452,HARVARD LAW SCH,HARVARD LAW SCH,1,#N/A,#N/A,
132,HARVARD MED SCH,HARVARD MED SCH,4,#N/A,#N/A,
265,HARVARD SMITHSONIAN CTR ASTROPHYS,HARVARD SMITHSONIAN CTR ASTROPHYS,2,#N/A,#N/A,
453,HASTINGS COLL LAW,HASTINGS COLLEGE LAW,1,#N/A,#N/A,
455,HEBREW UNIV JERUSALEM,HEBREW UNIVERSITY JERUSALEM,1,#N/A,#N/A,
457,HOBART AND WILLIAM SMITH COLL,HOBART AND WILLIAM SMITH COLLEGE,1,#N/A,#N/A,
41,HOWARD HUGHES MED INST,HOWARD HUGHES MED INST,13,#N/A,#N/A,
459,HUNTER COLL,HUNTER COLLEGE,1,#N/A,#N/A,
109,INDIANA UNIV,INDIANA UNIVERSITY,5,#N/A,#N/A,
55,INDIANA UNIV PENN,INDIANA UNIVERSITY PENN,9,#N/A,#N/A,
269,INDIANA UNIV PURDUE UNIV,INDIANA UNIVERSITY PURDUE UNIVERSITY,2,#N/A,#N/A,
461,INST BIOMED PHILOSOPHY,INST BIOMED PHILOSOPHY,1,#N/A,#N/A,
270,INST COMP SCI,INST COMP SCI,2,#N/A,#N/A,
462,INST LAB ANIM RES,INST LAB ANIM RES,1,#N/A,#N/A,
463,INTRAMURAL RES PROGRAM,INTRAMURAL RES PROGRAM,1,#N/A,#N/A,
186,IPN LEIBNIZ INST SCI AND MATH EDUC,IPN LEIBNIZ INST SCI AND MATH EDUC,3,#N/A,#N/A,
464,JACKSON LAB GENOM MED,JACKSON LAB GENOM MED,1,#N/A,#N/A,
466,JOHN JAY COLL,JOHN JAY COLLEGE,1,#N/A,#N/A,
271,JOHNS HOPKINS BLOOMBERG SCH PUBL HLTH,JOHNS HOPKINS BLOOMBERG SCH PUBL HLTH,2,#N/A,#N/A,
272,JOHNS HOPKINS SCH MED,JOHNS HOPKINS SCH MED,2,#N/A,#N/A,
468,JOHNS HOPKINS WHITING SCH ENGN,JOHNS HOPKINS WHITING SCH ENGN,1,#N/A,#N/A,
274,KARLSTAD UNIV,KARLSTAD UNIVERSITY,2,#N/A,#N/A,
470,KECK GRAD INST APPL LIFE SCI,KECK GRAD INST APPL LIFE SCI,1,#N/A,#N/A,
471,KELLEY PETTERSON AND ASSOCIATES,KELLEY PETTERSON AND ASSOCIATES,1,#N/A,#N/A,
472,KELLEY PETTERSON AND ASSOCIATES INC,KELLEY PETTERSON AND ASSOCIATES INC,1,#N/A,#N/A,
474,KINGSBOROUGH COMM COLL,KINGSBOROUGH COMM COLLEGE,1,#N/A,#N/A,
475,KNUTH RES INC,KNUTH RES INC,1,#N/A,#N/A,
476,LAB RECH DIDACT SCI,LAB RECH DIDACT SCI,1,#N/A,#N/A,
188,LAGUARDIA COMMUNITY COLL,LAGUARDIA COMMUNITY COLLEGE,3,#N/A,#N/A,
478,LARAMIE CTY COMMUNITY COLL,LARAMIE CTY COMMUNITY COLLEGE,1,#N/A,#N/A,
480,LAWRENCE BERKELEY NATL LAB,LAWRENCE BERKELEY NATL LAB,1,#N/A,#N/A,
481,LAWSON HLTH RES INST,LAWSON HLTH RES INST,1,#N/A,#N/A,
482,LEIDEN UNIV,LEIDEN UNIVERSITY,1,#N/A,#N/A,
483,LEWIS AND CLARK COLL,LEWIS AND CLARK COLLEGE,1,#N/A,#N/A,
484,LINDEN HIGH SCH,LINDEN HIGH SCH,1,#N/A,#N/A,
485,LINFIELD COLL,LINFIELD COLLEGE,1,#N/A,#N/A,
110,LINKOPING UNIV,LINKOPING UNIVERSITY,5,#N/A,#N/A,
486,LOCK HAVEN UNIV PENN,LOCK HAVEN UNIVERSITY PENN,1,#N/A,#N/A,
190,LONG ISL UNIV,LONG ISL UNIVERSITY,3,#N/A,#N/A,
72,LOUISIANA STATE UNIV,LOUISIANA STATE UNIVERSITY,7,#N/A,#N/A,
490,MAKERERE UNIV,MAKERERE UNIVERSITY,1,#N/A,#N/A,
491,MANKATO STATE UNIV,MANKATO STATE UNIVERSITY,1,#N/A,#N/A,
495,MASSACHUSETTS COLL PHARM AND HLTH SCI,MASSACHUSETTS COLLEGE PHARM AND HLTH SCI,1,#N/A,#N/A,
496,MASSANUTTEN GOVERNORS SCH,MASSANUTTEN GOVERNORS SCH,1,#N/A,#N/A,
193,MAYO CLIN,MAYO CLIN,3,#N/A,#N/A,
56,MCGILL UNIV,MCGILL UNIVERSITY,9,#N/A,#N/A,
497,MDBIO FDN INC,MDBIO FDN INC,1,#N/A,#N/A,
195,MED COLL WISCONSIN,MED COLLEGE WISCONSIN,3,#N/A,#N/A,
498,MED COLL WISCONSIN CENT WISCONSIN,MED COLLEGE WISCONSIN CENT WISCONSIN,1,#N/A,#N/A,
196,MED UNIV S CAROLINA,MED UNIVERSITY S CAROLINA,3,#N/A,#N/A,
499,MEDANOS COLL,MEDANOS COLLEGE,1,#N/A,#N/A,
197,MEM UNIV NEWFOUNDLAND,MEM UNIVERSITY NEWFOUNDLAND,3,#N/A,#N/A,
503,MGH INST HLTH PROFESS,MGH INST HLTH PROFESS,1,#N/A,#N/A,
90,MIAMI UNIV,MIAMI UNIVERSITY,6,#N/A,#N/A,
504,MILLERSVILLE UNIV PENNSYLVANIA,MILLERSVILLE UNIVERSITY PENNSYLVANIA,1,#N/A,#N/A,
279,MILWAUKEE SCH ENGN,MILWAUKEE SCH ENGN,2,#N/A,#N/A,
505,MINNEAPOLIS COLL,MINNEAPOLIS COLLEGE,1,#N/A,#N/A,
506,MINNESOTA STATE UNIV MANKATO,MINNESOTA STATE UNIVERSITY MANKATO,1,#N/A,#N/A,
507,MISSISSIPPI UNIV WOMEN,MISSISSIPPI UNIVERSITY WOMEN,1,#N/A,#N/A,
281,MT HOLYOKE COLL,MT HOLYOKE COLLEGE,2,#N/A,#N/A,
283,MT MARY UNIV,MT MARY UNIVERSITY,2,#N/A,#N/A,
508,MT ST MARY ACAD,MT ST MARY ACAD,1,#N/A,#N/A,
91,N CAROLINA AGR AND TECH STATE UNIV,N CAROLINA AGR AND TECH STATE UNIVERSITY,6,#N/A,#N/A,
285,N CAROLINA CENT UNIV,N CAROLINA CENT UNIVERSITY,2,#N/A,#N/A,
201,N CAROLINA STATE UNIV,N CAROLINA STATE UNIVERSITY,3,#N/A,#N/A,
28,N DAKOTA STATE UNIV,N DAKOTA STATE UNIVERSITY,19,#N/A,#N/A,
286,NATL ACAD ENGN,NATL ACAD ENGN,2,#N/A,#N/A,
287,NATL ACAD MED,NATL ACAD MED,2,#N/A,#N/A,
114,NATL ACAD SCI,NATL ACAD SCI,5,#N/A,#N/A,
509,NATL BOARD MED EXAMINERS,NATL BOARD MED EXAMINERS,1,#N/A,#N/A,
510,NATL CHANGHUA UNIV EDUC,NATL CHANGHUA UNIVERSITY EDUC,1,#N/A,#N/A,
511,NATL CHIAO TUNG UNIV,NATL CHIAO TUNG UNIVERSITY,1,#N/A,#N/A,
512,NATL CTR ADV TRANSLAT SCI,NATL CTR ADV TRANSLAT SCI,1,#N/A,#N/A,
513,NATL GIRLS COLLABORAT PROJECT AND EDLAB GRP,NATL GIRLS COLLEGEABORAT PROJECT AND EDLAB GRP,1,#N/A,#N/A,
514,NATL INST FOOD AND AGR,NATL INST FOOD AND AGR,1,#N/A,#N/A,
515,NATL JEWISH HLTH,NATL JEWISH HLTH,1,#N/A,#N/A,
42,NATL SCI FDN,NATL SCI FDN,13,#N/A,#N/A,
516,NATL SUN YAT SEN UNIV,NATL SUN YAT SEN UNIVERSITY,1,#N/A,#N/A,
517,NATL UNIV,NATL UNIVERSITY,1,#N/A,#N/A,
518,NATL UNIV CUYO,NATL UNIVERSITY CUYO,1,#N/A,#N/A,
519,NATL UNIV SINGAPORE,NATL UNIVERSITY SINGAPORE,1,#N/A,#N/A,
288,NEW MEXICO STATE UNIV,NEW MEXICO STATE UNIVERSITY,2,#N/A,#N/A,
203,NO ARIZONA UNIV,NO ARIZONA UNIVERSITY,3,#N/A,#N/A,
289,NO ILLINOIS UNIV,NO ILLINOIS UNIVERSITY,2,#N/A,#N/A,
135,NORTH CAROLINA AANDT STATE UNIV,NORTH CAROLINA AANDT STATE UNIVERSITY,4,#N/A,#N/A,
522,NORTH CAROLINA SCH SCI AND MATH,NORTH CAROLINA SCH SCI AND MATH,1,#N/A,#N/A,
204,NORTH CAROLINA STATE UNIV,NORTH CAROLINA STATE UNIVERSITY,3,#N/A,#N/A,
523,NORTH CENT COLL,NORTH CENT COLLEGE,1,#N/A,#N/A,
47,NORTH DAKOTA STATE UNIV,NORTH DAKOTA STATE UNIVERSITY,11,#N/A,#N/A,
525,NORTHWEST ASSOC BIOMED RES,NORTHWEST ASSOC BIOMED RES,1,#N/A,#N/A,
290,NORTHWEST SCH,NORTHWEST SCH,2,#N/A,#N/A,
136,NOTREPORTED,NOTREPORTED,4,#N/A,#N/A,
526,OBAFEMI AWOLOWO UNIV,OBAFEMI AWOLOWO UNIVERSITY,1,#N/A,#N/A,
527,OBERLIN COLL AND CONSERVATORY,OBERLIN COLLEGE AND CONSERVATORY,1,#N/A,#N/A,
528,OFF RES,OFF RES,1,#N/A,#N/A,
529,OFF RES EVALUAT AND PROGRAM SUPPORT,OFF RES EVALUAT AND PROGRAM SUPPORT,1,#N/A,#N/A,
75,OHIO STATE UNIV,OHIO STATE UNIVERSITY,7,#N/A,#N/A,
530,OHIO UNIV,OHIO UNIVERSITY,1,#N/A,#N/A,
205,OKLAHOMA STATE UNIV,OKLAHOMA STATE UNIVERSITY,3,#N/A,#N/A,
292,OREGON HLTH AND SCI UNIV,OREGON HLTH AND SCI UNIVERSITY,2,#N/A,#N/A,
532,OREGON INST TECHNOL,OREGON INST TECHNOL,1,#N/A,#N/A,
533,OSTEOPATH MED CTR,OSTEOPATH MED CTR,1,#N/A,#N/A,
207,PENN STATE UNIV,PENN STATE UNIVERSITY,3,#N/A,#N/A,
536,PHYSIOL EDUC RES CONSORTIUM,PHYSIOL EDUC RES CONSORTIUM,1,#N/A,#N/A,
208,PONCE HLTH SCI UNIV,PONCE HLTH SCI UNIVERSITY,3,#N/A,#N/A,
538,PONCE RES INST,PONCE RES INST,1,#N/A,#N/A,
294,PRAIRIE VIEW AANDM UNIV,PRAIRIE VIEW AANDM UNIVERSITY,2,#N/A,#N/A,
10,PURDUE UNIV,PURDUE UNIVERSITY,38,#N/A,#N/A,
295,QUEENS UNIV,QUEENS UNIVERSITY,2,#N/A,#N/A,
296,RES TRIANGLE PK,RES TRIANGLE PK,2,#N/A,#N/A,
542,RHODE ISL COLL,RHODE ISL COLLEGE,1,#N/A,#N/A,
543,RICHARD GILDER GRAD SCH,RICHARD GILDER GRAD SCH,1,#N/A,#N/A,
209,ROCHESTER INST TECHNOL,ROCHESTER INST TECHNOL,3,#N/A,#N/A,
548,RTRES CONSULTING,RTRES CONSULTING,1,#N/A,#N/A,
549,RUSH MED COLL,RUSH MED COLLEGE,1,#N/A,#N/A,
137,RUTGERS STATE UNIV,RUTGERS STATE UNIVERSITY,4,#N/A,#N/A,
551,SACRAMENTO STATE UNIV,SACRAMENTO STATE UNIVERSITY,1,#N/A,#N/A,
552,SAKARYA UNIV,SAKARYA UNIVERSITY,1,#N/A,#N/A,
298,SALK INST BIOL STUDIES,SALK INST BIOL STUDIES,2,#N/A,#N/A,
556,SCH BIOL,SCH BIOL,1,#N/A,#N/A,
118,SCH BIOL SCI,SCH BIOL SCI,5,#N/A,#N/A,
557,SCH HIST TECHNOL AND SOC,SCH HIST TECHNOL AND SOC,1,#N/A,#N/A,
558,SCH LIFE SCI,SCH LIFE SCI,1,#N/A,#N/A,
560,SCI MUSEUM MINNESOTA,SCI MUSEUM MINNESOTA,1,#N/A,#N/A,
561,SCI RES AND TECHNOL BRANCH,SCI RES AND TECHNOL BRANCH,1,#N/A,#N/A,
301,SCRIPPS RES INST,SCRIPPS RES INST,2,#N/A,#N/A,
562,SEATTLE PUBL SCH DIST,SEATTLE PUBL SCH DIST,1,#N/A,#N/A,
563,SEGAL CANC CTR,SEGAL CANC CTR,1,#N/A,#N/A,
564,SHIPS RESOURCE CTR,SHIPS RESOURCE CTR,1,#N/A,#N/A,
565,SIMBIOT SOFTWARE TEACHING AND RES,SIMBIOT SOFTWARE TEACHING AND RES,1,#N/A,#N/A,
140,SIMMONS COLL,SIMMONS COLLEGE,4,#N/A,#N/A,
302,SIMON FRASER UNIV,SIMON FRASER UNIVERSITY,2,#N/A,#N/A,
567,SO ILLINOIS UNIV,SO ILLINOIS UNIVERSITY,1,#N/A,#N/A,
568,SO VERMONT COLL,SO VERMONT COLLEGE,1,#N/A,#N/A,
569,SOLANO COLL,SOLANO COLLEGE,1,#N/A,#N/A,
141,SOUTHERN ILLINOIS UNIV,SOUTHERN ILLINOIS UNIVERSITY,4,#N/A,#N/A,
572,ST CLOUD TECH AND COMMUNITY COLL,ST CLOUD TECH AND COMMUNITY COLLEGE,1,#N/A,#N/A,
573,ST DOMINIC SCH,ST DOMINIC SCH,1,#N/A,#N/A,
210,ST EDWARDS UNIV,ST EDWARDS UNIVERSITY,3,#N/A,#N/A,
574,ST JOHNS UNIV,ST JOHNS UNIVERSITY,1,#N/A,#N/A,
575,ST JOSEPH CATHOLIC SCH,ST JOSEPH CATHOLIC SCH,1,#N/A,#N/A,
305,ST JOSEPHS UNIV,ST JOSEPHS UNIVERSITY,2,#N/A,#N/A,
78,ST LOUIS UNIV,ST LOUIS UNIVERSITY,7,#N/A,#N/A,
306,ST MARYS COLL,ST MARYS COLLEGE,2,#N/A,#N/A,
211,ST MARYS COLL CALIF,ST MARYS COLLEGE CALIF,3,#N/A,#N/A,
307,ST MARYS COLL MARYLAND,ST MARYS COLLEGE MARYLAND,2,#N/A,#N/A,
576,ST MARYS UNIV,ST MARYS UNIVERSITY,1,#N/A,#N/A,
577,ST PAUL COLL,ST PAUL COLLEGE,1,#N/A,#N/A,
579,SUNY ALBANY,SUNY ALBANY,1,#N/A,#N/A,
580,SUNY COLL GENESEO,SUNY COLLEGE GENESEO,1,#N/A,#N/A,
120,SUNY STONY BROOK,SUNY STONY BROOK,5,#N/A,#N/A,
308,SUNY UPSTATE MED UNIV,SUNY UPSTATE MED UNIVERSITY,2,#N/A,#N/A,
310,TECHNION ISRAEL INST TECHNOL,TECHNION ISRAEL INST TECHNOL,2,#N/A,#N/A,
582,TENNESSEE TECHNOL UNIV,TENNESSEE TECHNOL UNIVERSITY,1,#N/A,#N/A,
583,TERRY FOX FDN STRATEG TRAINING INITIAT HLTH RES C,TERRY FOX FDN STRATEG TRAINING INITIAT HLTH RES C,1,#N/A,#N/A,
95,THOMAS H GOSNELL SCH LIFE SCI,THOMAS H GOSNELL SCH LIFE SCI,6,#N/A,#N/A,
587,TULANE UNIV,TULANE UNIVERSITY,1,#N/A,#N/A,
214,UMEA UNIV,UMEA UNIVERSITY,3,#N/A,#N/A,
312,UNIV ALABAMA,UNIVERSITY OF ALABAMA,2,#N/A,#N/A,
143,UNIV ALABAMA BIRMINGHAM,UNIVERSITY OF ALABAMA BIRMINGHAM,4,#N/A,#N/A,
216,UNIV AMSTERDAM,UNIVERSITY OF AMSTERDAM,3,#N/A,#N/A,
144,UNIV BERGEN,UNIVERSITY OF BERGEN,4,#N/A,#N/A,
313,UNIV BORDEAUX,UNIVERSITY OF BORDEAUX,2,#N/A,#N/A,
12,UNIV BRITISH COLUMBIA,UNIVERSITY OF BRITISH COLUMBIA,30,#N/A,#N/A,
591,UNIV BUFFALO,UNIVERSITY OF BUFFALO,1,#N/A,#N/A,
592,UNIV BUFFALO SUNY,UNIVERSITY OF BUFFALO SUNY,1,#N/A,#N/A,
145,UNIV CALGARY,UNIVERSITY OF CALGARY,4,#N/A,#N/A,
593,UNIV CALIF OAKLAND,UNIVERSITY OF CALIFORNIA-OAKLAND,1,#N/A,#N/A,
595,UNIV CANTERBURY,UNIVERSITY OF CANTERBURY,1,#N/A,#N/A,
596,UNIV CENT ARKANSAS,UNIVERSITY OF CENT ARKANSAS,1,#N/A,#N/A,
121,UNIV CENT FLORIDA,UNIVERSITY OF CENT FLORIDA,5,#N/A,#N/A,
597,UNIV COLL UTRECHT,UNIVERSITY OF COLLEGE UTRECHT,1,#N/A,#N/A,
2,UNIV COLORADO,UNIVERSITY OF COLORADO,77,#N/A,#N/A,"Colorado Springs: 450900, Denver/Anschutz Medical: 450800"
316,UNIV COLORADO DENVER,UNIVERSITY OF COLORADO DENVER,2,#N/A,#N/A,
598,UNIV CUMBERLANDS,UNIVERSITY OF CUMBERLANDS,1,#N/A,#N/A,
600,UNIV DIST COLUMBIA,UNIVERSITY OF DIST COLUMBIA,1,#N/A,#N/A,
601,UNIV EDUC HEIDELBERG,UNIVERSITY OF EDUC HEIDELBERG,1,#N/A,#N/A,
602,UNIV EDUC LUDWIGSBURG,UNIVERSITY OF EDUC LUDWIGSBURG,1,#N/A,#N/A,
603,UNIV GLASGOW,UNIVERSITY OF GLASGOW,1,#N/A,#N/A,
317,UNIV GRONINGEN,UNIVERSITY OF GRONINGEN,2,#N/A,#N/A,
219,UNIV GUELPH,UNIVERSITY OF GUELPH,3,#N/A,#N/A,
604,UNIV HAIFA,UNIVERSITY OF HAIFA,1,#N/A,#N/A,
318,UNIV HAWAII,UNIVERSITY OF HAWAII,2,#N/A,#N/A,
319,UNIV HAWAII MANOA,UNIVERSITY OF HAWAII MANOA,2,#N/A,#N/A,
148,UNIV HLTH NETWORK,UNIVERSITY OF HLTH NETWORK,4,#N/A,#N/A,
606,UNIV HOUSTON DOWNTOWN,UNIVERSITY OF HOUSTON DOWNTOWN,1,#N/A,#N/A,
607,UNIV IBADAN,UNIVERSITY OF IBADAN,1,#N/A,#N/A,
220,UNIV ILLINOIS,UNIVERSITY OF ILLINOIS,3,#N/A,#N/A,
320,UNIV INCARNATE WORD,UNIVERSITY OF INCARNATE WORD,2,#N/A,#N/A,
150,UNIV KIEL,UNIVERSITY OF KIEL,4,#N/A,#N/A,
322,UNIV LEEDS,UNIVERSITY OF LEEDS,2,#N/A,#N/A,
608,UNIV LOUISIANA MONROE,UNIVERSITY OF LOUISIANA MONROE,1,#N/A,#N/A,
609,UNIV MARIBOR,UNIVERSITY OF MARIBOR,1,#N/A,#N/A,
22,UNIV MARYLAND,UNIVERSITY OF MARYLAND,23,#N/A,#N/A,
40,UNIV MARYLAND BALTIMORE CTY,UNIVERSITY OF MARYLAND BALTIMORE CTY,14,#N/A,#N/A,
151,UNIV MASSACHUSETTS,UNIVERSITY OF MASSACHUSETTS,4,#N/A,#N/A,
222,UNIV MASSACHUSETTS AMHERST,UNIVERSITY OF MASSACHUSETTS AMHERST,3,#N/A,#N/A,
97,UNIV MICHIGAN,UNIVERSITY OF MICHIGAN,6,#N/A,#N/A,
15,UNIV MINNESOTA,UNIVERSITY OF MINNESOTA,29,#N/A,#N/A,
612,UNIV MINNESOTA ROCHESTER,UNIVERSITY OF MINNESOTA ROCHESTER,1,#N/A,#N/A,
98,UNIV MINNESOTA TWIN CITIES,UNIVERSITY OF MINNESOTA TWIN CITIES,6,#N/A,#N/A,
153,UNIV MISSOURI,UNIVERSITY OF MISSOURI,4,#N/A,#N/A,
30,UNIV N CAROLINA,UNIVERSITY OF N CAROLINA,18,#N/A,#N/A,
613,UNIV NACL CUYO,UNIVERSITY OF NACL CUYO,1,#N/A,#N/A,
13,UNIV NEBRASKA,UNIVERSITY OF NEBRASKA,30,#N/A,#N/A,
614,UNIV NEBRASKA LINCOLN,UNIVERSITY OF NEBRASKA LINCOLN,1,#N/A,#N/A,
615,UNIV NEVADA LAS VEGAS,UNIVERSITY OF NEVADA LAS VEGAS,1,#N/A,#N/A,
79,UNIV NEW HAMPSHIRE,UNIVERSITY OF NEW HAMPSHIRE,7,#N/A,#N/A,
60,UNIV NEW MEXICO,UNIVERSITY OF NEW MEXICO,9,#N/A,#N/A,
324,UNIV NO COLORADO,UNIVERSITY OF NO COLORADO,2,#N/A,#N/A,
122,UNIV NORTH CAROLINA CHAPEL HILL,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,5,#N/A,#N/A,
616,UNIV NORTHWESTERN,UNIVERSITY OF NORTHWESTERN,1,#N/A,#N/A,
617,UNIV OKLAHOMA,UNIVERSITY OF OKLAHOMA,1,#N/A,#N/A,
619,UNIV OSLO,UNIVERSITY OF OSLO,1,#N/A,#N/A,
620,UNIV OTTAWA,UNIVERSITY OF OTTAWA,1,#N/A,#N/A,
621,UNIV PENN,UNIVERSITY OF PENN,1,#N/A,#N/A,
68,UNIV PITTSBURGH,UNIVERSITY OF PITTSBURGH,8,#N/A,#N/A,
622,UNIV POTIGUAR,UNIVERSITY OF POTIGUAR,1,#N/A,#N/A,
223,UNIV PRETORIA,UNIVERSITY OF PRETORIA,3,#N/A,#N/A,
99,UNIV PUERTO RICO,UNIVERSITY OF PUERTO RICO,6,#N/A,#N/A,
623,UNIV PUERTO RICO CAYEY,UNIVERSITY OF PUERTO RICO CAYEY,1,#N/A,#N/A,
624,UNIV PUERTO RICO MAYAGUEZ,UNIVERSITY OF PUERTO RICO MAYAGUEZ,1,#N/A,#N/A,
69,UNIV QUEENSLAND,UNIVERSITY OF QUEENSLAND,8,#N/A,#N/A,
625,UNIV RHODE ISL,UNIVERSITY OF RHODE ISL,1,#N/A,#N/A,
33,UNIV S FLORIDA,UNIVERSITY OF S FLORIDA,16,#N/A,#N/A,
327,UNIV SCI PHILADELPHIA,UNIVERSITY OF SCI PHILADELPHIA,2,#N/A,#N/A,
627,UNIV SCI TECH AND TECHNOL BAMAKO,UNIVERSITY OF SCI TECH AND TECHNOL BAMAKO,1,#N/A,#N/A,
226,UNIV SO CALIF,UNIVERSITY OF SO CALIF,3,#N/A,#N/A,
