"","V1"
"J CHEM EDUC",1183
"ADV PHYSIOL EDUC",1182
"SCIENCE",1159
"AM BIOL TEACH",1086
"CBE-LIFE SCI EDUC",938
"BIOCHEM MOL BIOL EDU",899
"NATURE",888
"J RES SCI TEACH",828
"INT J SCI EDUC",747
"P NATL ACAD SCI USA",656
