"","AFF","Freq"
"533","RUTGERS STATE UNIVERSITY NEWARK",1
"534","SAINT JOHN'S UNIVERSITY",1
"535","SAINT MARYS UNIVERSITY - CANADA",1
"536","SAKARYA UNIVERSITY",1
"537","SAMUEL MERRITT UNIVERSITY",1
"538","SHIPS RESOURCE CTR",1
"539","SINAI HOSPITAL OF BALTIMORE",1
"540","SKIDMORE COLLEGE",1
"541","SOUTHERN CONNECTICUT STATE UNIVERSITY",1
"542","SOUTHERN METHODIST UNIVERSITY",1
"543","ST JOHN FISHER COLL",1
"544","STATE UNIVERSITY OF NEW YORK (SUNY) ALBANY",1
"545","STATE UNIVERSITY OF NEW YORK (SUNY) BINGHAMTON",1
"546","STONY BROOK UNIVERSITY HOSPITAL",1
"547","SUNY GENESEO",1
"548","SUNY OLD WESTBURY",1
"549","TARLETON STATE UNIVERSITY",1
"550","TENNESSEE TECHNOLOGICAL UNIVERSITY",1
"551","THE NEW SCHOOL",1
"552","TOWSON UNIVERSITY",1
"553","TRINITY COLLEGE",1
"554","TRUCKEE MEADOWS COMMUNITY COLLEGE",1
"555","TULANE UNIVERSITY",1
"556","UNITED STATES DEPARTMENT OF AGRICULTURE (USDA)",1
"557","UNIVERSIDADE FEDERAL DO RIO GRANDE",1
"558","UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",1
"559","UNIVERSIDADE POTIGUAR",1
"560","UNIVERSITY OF ABERDEEN",1
"561","UNIVERSITY OF ARKANSAS LITTLE ROCK",1
"562","UNIVERSITY OF CALIFORNIA SANTA CRUZ",1
"563","UNIVERSITY OF CANTERBURY",1
"564","UNIVERSITY OF CENTRAL ARKANSAS",1
"565","UNIVERSITY OF CENTRAL OKLAHOMA",1
"566","UNIVERSITY OF GLASGOW",1
"567","UNIVERSITY OF HAIFA",1
"568","UNIVERSITY OF HARTFORD",1
"569","UNIVERSITY OF HOUSTON",1
"570","UNIVERSITY OF HOUSTON DOWNTOWN",1
"571","UNIVERSITY OF HOUSTON SYSTEM",1
"572","UNIVERSITY OF IBADAN",1
"573","UNIVERSITY OF LAGOS",1
"574","UNIVERSITY OF MAINE FARMINGTON",1
"575","UNIVERSITY OF MARIBOR",1
"576","UNIVERSITY OF MASSACHUSETTS WORCESTER",1
"577","UNIVERSITY OF MEMPHIS",1
"578","UNIVERSITY OF MINNESOTA ROCHESTER",1
"579","UNIVERSITY OF MISSOURI SAINT LOUIS",1
"580","UNIVERSITY OF MONTANA",1
"581","UNIVERSITY OF MONTANA SYSTEM",1
"582","UNIVERSITY OF NORTH CAROLINA - ASHEVILLE",1
"583","UNIVERSITY OF NORTH CAROLINA CHARLOTTE",1
"584","UNIVERSITY OF NORTH DAKOTA GRAND FORKS",1
"585","UNIVERSITY OF NORTH TEXAS DENTON",1
"586","UNIVERSITY OF NORTH TEXAS SYSTEM",1
"587","UNIVERSITY OF OKLAHOMA - NORMAN",1
"588","UNIVERSITY OF OKLAHOMA SYSTEM",1
"589","UNIVERSITY OF OREGON",1
"590","UNIVERSITY OF OSLO",1
"591","UNIVERSITY OF OTTAWA",1
"592","UNIVERSITY OF PENNSYLVANIA",1
"593","UNIVERSITY OF QUEBEC",1
"594","UNIVERSITY OF QUEBEC MONTREAL",1
"595","UNIVERSITY OF RHODE ISLAND",1
"596","UNIVERSITY OF SAN DIEGO",1
"597","UNIVERSITY OF SCIENCE AND TECHNOLOGY OF BAMAKO",1
"598","UNIVERSITY OF SOUTH CAROLINA COLUMBIA",1
"599","UNIVERSITY OF SOUTH CAROLINA SYSTEM",1
"600","UNIVERSITY OF SOUTHAMPTON",1
"601","UNIVERSITY OF TEXAS DALLAS",1
"602","UNIVERSITY OF TEXAS HEALTH SAN ANTONIO",1
"603","UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON",1
"604","UNIVERSITY OF THE DISTRICT OF COLUMBIA",1
"605","UNIVERSITY OF THE SUNSHINE COAST",1
"606","UNIVERSITY OF WISCONSIN EAU CLAIRE",1
"607","UNIVERSITY OF WISCONSIN MILWAUKEE",1
"608","UNIVERSITY OF WISCONSIN STEVENS POINT",1
"609","UNIVERSITY OF WYOMING",1
"610","VA TENNESSEE VALLEY HEALTHCARE SYSTEM",1
"611","VICTORIA UNIVERSITY WELLINGTON",1
"612","VIRGINIA STATE UNIVERSITY",1
"613","WAYNE STATE UNIVERSITY",1
"614","WEILL CORNELL MEDICAL COLLEGE QATAR",1
"615","WESTAT",1
"616","WESTERN KENTUCKY UNIVERSITY",1
"617","WESTERN NORWAY UNIVERSITY OF APPLIED SCIENCES",1
"618","WHITMAN COLLEGE",1
"619","WICHITA STATE UNIVERSITY",1
"620","WILLIAM S MIDDLETON MEMORIAL VETERANS HOSPITAL",1
"621","WOFFORD COLL",1
"622","WORCESTER POLYTECHNIC INSTITUTE",1
"623","YOUNGSTOWN STATE UNIVERSITY",1
