"","AFF","Freq"
"119","OREGON STATE UNIVERSITY",8
"120","PENNSYLVANIA STATE UNIVERSITY",8
"121","TEXAS AANDM UNIVERSITY COLLEGE STATION",8
"122","UNIVERSITY OF ALABAMA SYSTEM",8
"123","UNIVERSITY OF KENTUCKY",8
"124","UNIVERSITY OF MISSOURI SYSTEM",8
"125","UNIVERSITY OF NORTH CAROLINA SCHOOL OF MEDICINE",8
"126","UNIVERSITY OF QUEENSLAND",8
"127","UNIVERSITY OF SOUTHERN CALIFORNIA",8
"128","UTMD ANDERSON CANCER CENTER",8
"129","CALIFORNIA STATE UNIVERSITY FULLERTON",7
"130","EAST TENNESSEE STATE UNIVERSITY",7
"131","INDIANA UNIVERSITY SYSTEM",7
"132","LOUISIANA STATE UNIVERSITY",7
"133","MIAMI UNIVERSITY",7
"134","MORGAN STATE UNIVERSITY",7
"135","NSF- DIRECTORATE FOR EDUCATION AND HUMAN RESOURCES (EHR)",7
"136","SEATTLE UNIVERSITY",7
"137","SPELMAN COLLEGE",7
"138","UNIVERSITY OF MINNESOTA DULUTH",7
"139","UTAH STATE UNIVERSITY",7
"140","WESTERN WASHINGTON UNIVERSITY",7
"141","WIDENER UNIVERSITY",7
"142","BRYN MAWR COLLEGE",6
"143","COLUMBIA UNIVERSITY",6
"144","DAVID GEFFEN SCHOOL OF MEDICINE AT UCLA",6
"145","GEORGIA GWINNETT COLLEGE",6
"146","GEORGIA STATE UNIVERSITY",6
"147","HARVEY MUDD COLLEGE",6
"148","LEIBNIZ INSTITUT FUR DIE PADAGOGIK DER NATURWISSENSCHAFTEN UND MATHEMATIK AN DER UNIVERSITAT KIEL (IPN)",6
"149","MOREHOUSE COLLEGE",6
"150","NEW MEXICO STATE UNIVERSITY",6
"151","SAINT OLAF COLLEGE",6
"152","SMITH COLLEGE",6
"153","SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE",6
"154","SOUTHERN ILLINOIS UNIVERSITY SYSTEM",6
"155","TEXAS STATE UNIVERSITY SYSTEM",6
"156","UNIVERSITY OF ALABAMA BIRMINGHAM",6
"157","UNIVERSITY OF CALIFORNIA LOS ANGELES MEDICAL CENTER",6
"158","UNIVERSITY OF CALIFORNIA SANTA BARBARA",6
"159","UNIVERSITY OF CENTRAL FLORIDA",6
"160","UNIVERSITY OF HAWAII SYSTEM",6
"161","UNIVERSITY OF MASSACHUSETTS AMHERST",6
"162","UNIVERSITY OF NOTRE DAME",6
"163","UTRECHT UNIVERSITY",6
"164","WELLESLEY COLLEGE",6
"165","WRIGHT STATE UNIVERSITY DAYTON",6
"166","BOSTON COLLEGE",5
"167","BRANDEIS UNIVERSITY",5
"168","CALIFORNIA STATE UNIVERSITY STANISLAUS",5
"169","CLEMSON UNIVERSITY",5
"170","INDIANA UNIVERSITY BLOOMINGTON",5
"171","LINKOPING UNIVERSITY",5
"172","MACALESTER COLLEGE",5
"173","MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT)",5
"174","MASSACHUSETTS SYSTEM OF PUBLIC HIGHER EDUCATION",5
"175","NEW YORK UNIVERSITY",5
"176","SWARTHMORE COLLEGE",5
"177","SYRACUSE UNIVERSITY",5
"178","UNIVERSITY OF LA VERNE",5
"179","UNIVERSITY OF MASSACHUSETTS BOSTON",5
"180","UNIVERSITY OF MIAMI",5
"181","UNIVERSITY OF VIRGINIA",5
"182","UNIVERSITY OF WEST FLORIDA",5
"183","WEBSTER UNIVERSITY",5
"184","BELOIT COLLEGE",4
"185","CALIFORNIA STATE UNIVERSITY CHICO",4
"186","CALIFORNIA STATE UNIVERSITY MONTEREY BAY",4
"187","CASE WESTERN RESERVE UNIVERSITY",4
"188","COLLEGE OF CHARLESTON",4
"189","COLORADO STATE UNIVERSITY",4
"190","GEORGE MASON UNIVERSITY",4
"191","GRAND VALLEY STATE UNIVERSITY",4
"192","HARVARD MEDICAL SCHOOL",4
"193","KANSAS STATE UNIVERSITY",4
"194","MILWAUKEE SCHOOL ENGINEERING",4
"195","MOUNT HOLYOKE COLLEGE",4
"196","NIH NATIONAL CANCER INSTITUTE (NCI)",4
"197","NSF - DIVISION OF UNDERGRADUATE EDUCATION (DUE)",4
"198","RUTGERS STATE UNIVERSITY NEW BRUNSWICK",4
"199","SALISBURY UNIVERSITY",4
"200","SAM HOUSTON STATE UNIVERSITY",4
"201","SAN JOSE STATE UNIVERSITY",4
"202","SIMMONS UNIVERSITY",4
"203","UDICE-FRENCH RESEARCH UNIVERSITIES",4
"204","UNIVERSITE DE BORDEAUX",4
"205","UNIVERSITY HEALTH NETWORK TORONTO",4
"206","UNIVERSITY OF ARKANSAS FAYETTEVILLE",4
"207","UNIVERSITY OF ARKANSAS SYSTEM",4
"208","UNIVERSITY OF BERGEN",4
"209","UNIVERSITY OF CALGARY",4
"210","UNIVERSITY OF CALIFORNIA RIVERSIDE",4
"211","UNIVERSITY OF CHICAGO",4
"212","UNIVERSITY OF COLORADO ANSCHUTZ MEDICAL CAMPUS",4
"213","UNIVERSITY OF COLORADO DENVER",4
"214","UNIVERSITY OF ILLINOIS SYSTEM",4
"215","UNIVERSITY OF IOWA",4
"216","UNIVERSITY OF KIEL",4
"217","UNIVERSITY OF NORTH CAROLINA GREENSBORO",4
"218","UNIVERSITY OF PUERTO RICO MAYAGUEZ",4
"219","WILLIAM AND MARY",4
"220","XAVIER UNIVERSITY OF LOUISIANA",4
"221","ALBION COLLEGE",3
"222","AMHERST COLLEGE",3
"223","BENTLEY UNIV",3
