"","V1"
"CBE-LIFE SCI EDUC",561
"J RES SCI TEACH",393
"SCIENCE",263
"J COLL SCI TEACH",235
"INT J SCI EDUC",205
"SCI EDUC",203
"J CHEM EDUC",188
"J EDUC PSYCHOL",159
"AM BIOL TEACH",149
"BIOCHEM MOL BIOL EDU",110
